date,method,true_net_profit,gross_revenue,real_deg_cost,throughput,full_cycles
2019-11-20,dp_nodeg,-0.828355,23.1716,24,2,1
2019-11-20,greedy,-31.1787,-1.17872,30,2.5,1.25
2019-11-21,dp_deg,8.60514e-15,1.16027e-14,2.9976e-15,2.498e-16,1.249e-16
2019-11-21,dp_nodeg,-6.83496,17.165,24,2,1
2019-11-21,greedy,-10.4218,13.5782,24,2,1
2019-11-22,dp_deg,7.09793e-15,1.00955e-14,2.9976e-15,2.498e-16,1.249e-16
2019-11-22,dp_nodeg,-12.6046,11.3954,24,2,1
2019-11-22,greedy,-12.9173,11.0827,24,2,1
2019-11-23,dp_deg,4.08612e-15,7.08373e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-23,dp_nodeg,-23.759,12.241,36,3,1.5
2019-11-23,greedy,-22.5348,1.46523,24,2,1
2019-11-24,dp_deg,7.92329,19.9233,12,1,0.5
2019-11-24,dp_nodeg,-10.8825,25.1175,36,3,1.5
2019-11-24,greedy,18.9643,36.9643,18,1.5,0.75
2019-11-25,dp_deg,8.84451e-15,1.18421e-14,2.9976e-15,2.498e-16,1.249e-16
2019-11-25,dp_nodeg,-8.05789,15.9421,24,2,1
2019-11-25,greedy,-11.9053,12.0947,24,2,1
2019-11-26,dp_deg,7.97465e-15,1.09723e-14,2.9976e-15,2.498e-16,1.249e-16
2019-11-26,dp_nodeg,-12.8993,11.1007,24,2,1
2019-11-26,greedy,-15.229,8.77101,24,2,1
2019-11-27,dp_deg,6.15268e-15,9.15028e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-27,dp_nodeg,-7.15695,16.843,24,2,1
2019-11-27,greedy,-37.5218,-7.52177,30,2.5,1.25
2019-11-28,dp_deg,5.77019,17.7702,12,1,0.5
2019-11-28,dp_nodeg,-4.21899,31.781,36,3,1.5
2019-11-28,greedy,-14.2146,9.78539,24,2,1
2019-11-29,dp_deg,7.31263,19.3126,12,1,0.5
2019-11-29,dp_nodeg,-9.35474,26.6453,36,3,1.5
2019-11-29,greedy,-12.2101,11.7899,24,2,1
2019-11-30,dp_deg,6.73471e-15,9.73232e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-30,dp_nodeg,-15.5675,8.43252,24,2,1
2019-11-30,greedy,3.86363,21.8636,18,1.5,0.75
2019-12-01,dp_deg,6.83568e-15,9.83328e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-01,dp_nodeg,-15.9533,8.0467,24,2,1
2019-12-01,greedy,6.59612,24.5961,18,1.5,0.75
2019-12-02,dp_deg,7.70043e-15,1.0698e-14,2.9976e-15,2.498e-16,1.249e-16
2019-12-02,dp_nodeg,-31.5372,16.4628,48,4,2
2019-12-02,greedy,-14.9171,9.08286,24,2,1
2019-12-03,dp_deg,3.6452,27.6452,24,2,1
2019-12-03,dp_nodeg,3.6452,27.6452,24,2,1
2019-12-03,greedy,-26.1638,3.83615,30,2.5,1.25
2019-12-04,dp_deg,1.86514,13.8651,12,1,0.5
2019-12-04,dp_nodeg,-23.874,24.126,48,4,2
2019-12-04,greedy,-13.0538,10.9462,24,2,1
2019-12-05,dp_deg,2.184,14.184,12,1,0.5
2019-12-05,dp_nodeg,-23.5416,24.4584,48,4,2
2019-12-05,greedy,-31.0962,-1.09623,30,2.5,1.25
2019-12-06,dp_deg,4.20678e-15,7.20438e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-06,dp_nodeg,-13.2149,22.7851,36,3,1.5
2019-12-06,greedy,-9.57489,14.4251,24,2,1
2019-12-07,dp_deg,11.6557,23.6557,12,1,0.5
2019-12-07,dp_nodeg,-9.90947,38.0905,48,4,2
2019-12-07,greedy,7.47991,25.4799,18,1.5,0.75
2019-12-08,dp_deg,40.2487,76.2487,36,3,1.5
2019-12-08,dp_nodeg,11.9597,83.9597,72,6,3
2019-12-08,greedy,28.0636,58.0636,30,2.5,1.25
2019-12-09,dp_deg,15.5377,27.5377,12,1,0.5
2019-12-09,dp_nodeg,5.56684,41.5668,36,3,1.5
2019-12-09,greedy,11.3765,35.3765,24,2,1
2019-12-10,dp_deg,1.29406,13.2941,12,1,0.5
2019-12-10,dp_nodeg,0.885971,24.886,24,2,1
2019-12-10,greedy,-22.1698,7.83017,30,2.5,1.25
2019-12-11,dp_deg,15.879,27.879,12,1,0.5
2019-12-11,dp_nodeg,6.0647,42.0647,36,3,1.5
2019-12-11,greedy,20.1861,38.1861,18,1.5,0.75
2019-12-12,dp_deg,7.33827e-15,1.03359e-14,2.9976e-15,2.498e-16,1.249e-16
2019-12-12,dp_nodeg,-4.72921,19.2708,24,2,1
2019-12-12,greedy,-38.2598,-8.25977,30,2.5,1.25
2019-12-13,dp_deg,5.51571,17.5157,12,1,0.5
2019-12-13,dp_nodeg,-10.6174,25.3826,36,3,1.5
2019-12-13,greedy,7.31126,25.3113,18,1.5,0.75
2019-12-14,dp_deg,1.57906,13.5791,12,1,0.5
2019-12-14,dp_nodeg,-41.5164,30.4836,72,6,3
2019-12-14,greedy,-24.8518,5.14815,30,2.5,1.25
2019-12-15,dp_deg,7.28147,19.2815,12,1,0.5
2019-12-15,dp_nodeg,-45.509,26.491,72,6,3
2019-12-15,greedy,11.9064,29.9064,18,1.5,0.75
2019-12-16,dp_deg,6.46281e-15,9.46041e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-16,dp_nodeg,-21.9641,14.0359,36,3,1.5
2019-12-16,greedy,-14.7618,9.23825,24,2,1
2019-12-17,dp_deg,5.50781e-15,8.50541e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-17,dp_nodeg,-11.4827,12.5173,24,2,1
2019-12-17,greedy,-35.2697,-5.26968,30,2.5,1.25
2019-12-18,dp_deg,1.29222,13.2922,12,1,0.5
2019-12-18,dp_nodeg,-4.41574,19.5843,24,2,1
2019-12-18,greedy,-8.86707,15.1329,24,2,1
2019-12-19,dp_deg,5.02819e-15,8.02579e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-19,dp_nodeg,-13.3717,10.6283,24,2,1
2019-12-19,greedy,-15.8926,8.10741,24,2,1
2019-12-20,dp_deg,3.81451e-15,6.81211e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-20,dp_nodeg,-35.3486,12.6514,48,4,2
2019-12-20,greedy,-21.0602,2.93984,24,2,1
2019-12-21,dp_deg,3.35107,15.3511,12,1,0.5
2019-12-21,dp_nodeg,-11.1389,24.8611,36,3,1.5
2019-12-21,greedy,5.7506,23.7506,18,1.5,0.75
2019-12-22,dp_deg,4.25579,16.2558,12,1,0.5
2019-12-22,dp_nodeg,-17.0194,30.9806,48,4,2
2019-12-22,greedy,6.90419,24.9042,18,1.5,0.75
2019-12-23,dp_deg,10.6178,22.6178,12,1,0.5
2019-12-23,dp_nodeg,-7.72166,40.2783,48,4,2
2019-12-23,greedy,-1.19412,22.8059,24,2,1
2019-12-24,dp_deg,10.564,22.564,12,1,0.5
2019-12-24,dp_nodeg,-14.6612,33.3388,48,4,2
2019-12-24,greedy,12.7211,30.7211,18,1.5,0.75
2019-12-25,dp_deg,3.31471e-15,6.31231e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-25,dp_nodeg,-17.6245,18.3755,36,3,1.5
2019-12-25,greedy,4.75077,22.7508,18,1.5,0.75
2019-12-26,dp_deg,4.79238e-15,7.78998e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-26,dp_nodeg,-17.0268,6.97322,24,2,1
2019-12-26,greedy,1.87336,19.8734,18,1.5,0.75
2019-12-27,dp_deg,5.76282e-15,8.76043e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-27,dp_nodeg,-13.0859,10.9141,24,2,1
2019-12-27,greedy,3.52676,21.5268,18,1.5,0.75
2019-12-28,dp_deg,4.94643e-15,7.94403e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-28,dp_nodeg,-14.6809,9.31912,24,2,1
2019-12-28,greedy,-22.8328,1.16718,24,2,1
2019-12-29,dp_deg,3.99057e-15,6.98817e-15,2.9976e-15,2.498e-16,1.249e-16
2019-12-29,dp_nodeg,-20.9198,15.0802,36,3,1.5
2019-12-29,greedy,-22.1855,1.8145,24,2,1
2019-12-30,dp_deg,5.49101,17.491,12,1,0.5
2019-12-30,dp_nodeg,-22.7374,25.2626,48,4,2
2019-12-30,greedy,-13.4386,10.5614,24,2,1
2019-12-31,dp_deg,7.45185,19.4518,12,1,0.5
2019-12-31,dp_nodeg,-20.0715,27.9285,48,4,2
2019-12-31,greedy,7.33563,25.3356,18,1.5,0.75
